id	filename	md5	size	state	acl	project_id	category
d83bca3f-7dc3-4546-9fb4-574ee44767b7	659be1ed-780e-449e-b0af-98ff4550d4cf_wgs_gdc_realn.bai	6dde5a4aa8be9cbf3cef32f45226f4fa	9485776	released	[b'phs000178']	TCGA-ACC	index_file
000a8a89-7f33-4d3d-a6b9-73815f181aae	659be1ed-780e-449e-b0af-98ff4550d4cf_wgs_gdc_realn.bam	2c62a7a5411027c23dc05c02a30d1ea7	142601498649	released	[b'phs000178']	TCGA-ACC	data_file
ea9b7d48-3398-40ee-9010-1d2fb592065d	TCGA-ACC.9529972c-b839-41d2-85c5-61e9c39e67a2.wgs.varscan2.raw_somatic_mutation.vcf.gz.tbi	858b8689711e2009e0634a9ad9ecc7dc	125159	released	[b'phs000178']	TCGA-ACC	index_file
002c1485-924b-4681-8893-3775da212f51	TCGA-ACC.9529972c-b839-41d2-85c5-61e9c39e67a2.wgs.varscan2.raw_somatic_mutation.vcf.gz	6095c64abee607f0f5fa67627d6eece9	855210	released	[b'phs000178']	TCGA-ACC	data_file
00341af7-91da-40e1-bee0-01ebe4f0f0c3	TCGA-ACC.ce287f91-80f7-4187-ae42-c85b4d67ff07.absolute_liftover.gene_level_copy_number.v36.tsv	8f80e90e9d3e9d8f0208942969b37d51	3436865	released	[b'open']	TCGA-ACC	data_file
00469487-8667-48a6-bfbe-3222b31db311	TCGA-ACC.0e68b520-96e7-402c-a522-64995ea316a5.ascat3.gene_level_copy_number.v36.tsv	b8e3c919e9762c8e4f81efdc3a83841e	3445502	released	[b'open']	TCGA-ACC	data_file
111ab0f6-d358-46fe-9328-bccab8320e68	TCGA_ACC.8ae6e2f1-48b7-4df2-a278-d74c2c8bf1db.wxs.VarScan2.somatic_annotation.vcf.gz.tbi	a305515af8c9254a02fa099447c5090f	11264	released	[b'phs000178']	TCGA-ACC	index_file
004d3703-f219-4536-8c91-7fdff8310e46	TCGA_ACC.8ae6e2f1-48b7-4df2-a278-d74c2c8bf1db.wxs.VarScan2.somatic_annotation.vcf.gz	1166e9fc21f7606d5debeecc17e1db05	247159	released	[b'phs000178']	TCGA-ACC	data_file
2a652813-85bb-4a71-9345-7efd0033ef89	06cc0bc6-1b36-4318-99ee-dfc83cc134c0.rna_seq.genomic.gdc_realn.bam.bai	a945db11a9926902deead3039ede19a6	4320928	released	[b'phs000178']	TCGA-ACC	index_file
004e807c-7eed-423d-bc0c-9ca76ce77518	06cc0bc6-1b36-4318-99ee-dfc83cc134c0.rna_seq.genomic.gdc_realn.bam	4278ef3ab578414d05aa296fde3b9994	8504822935	released	[b'phs000178']	TCGA-ACC	data_file
005e757b-a121-423e-b53a-00a2a4842e5a	1e3b50da-5685-47dd-8940-4eef2452bcb4_wgs_gdc_realn.cr.igv.reheader.seg.txt	a0ebe8f9baa5faf227c904d70bf2cf50	183249	released	[b'open']	TCGA-ACC	data_file
0ef7815c-8d73-46b8-b1fc-945cac6e0a3b	TCGA_ACC.d5271b74-ab4c-4f2f-9985-a1326ae69f07.wxs.VarScan2.somatic_annotation.vcf.gz.tbi	1211097af366c4fad7a45c427b6a432e	9338	released	[b'phs000178']	TCGA-ACC	index_file
007376e2-638a-4aa6-a258-20a8e2a163e4	TCGA_ACC.d5271b74-ab4c-4f2f-9985-a1326ae69f07.wxs.VarScan2.somatic_annotation.vcf.gz	a63e07e25b5cb7aecf230c0e3414770f	177245	released	[b'phs000178']	TCGA-ACC	data_file
007ef156-c8da-4253-8786-0a2b8c017227	BLAIN_p_TCGA_282_304_b2_N_GenomeWideSNP_6_D10_1348550.birdseed.data.txt	5ef0dce9088c9b06200d6f2c92a81f44	20851964	released	[b'phs000178']	TCGA-ACC	data_file
00969a8f-2e17-4c16-98cb-3ebf9656126a	410c212b-8710-4cd2-9e12-6204065bd315_noid_Red.idat	25aaf3366543cc928a0c264b1a1e7085	8095295	released	[b'open']	TCGA-ACC	data_file
009cb69e-fc91-4a07-9498-6f9006e62d37	GAMED_p_TCGA_B_312_313_314_NSP_GenomeWideSNP_6_E03_1361702.CEL	2886bfe710ea60159502968f5cd8a5b6	69123317	released	[b'phs000178']	TCGA-ACC	data_file
00a8993b-495f-45bc-ab25-3bc44fec993f	TCGA-ACC.0f72d11e-32e4-4aeb-a573-96e5eb4fd3e8.arriba.rna_fusion.bedpe	69c1e2a450d2923e2efd0f9701643ebf	11244	released	[b'phs000178']	TCGA-ACC	data_file
25948280-39f3-4fcf-8cda-3615a9fc298e	TCGA_ACC.6e7d2e2c-0d5b-4855-875c-d0e42346330d.wgs.GATK4_MuTect2_Pair.somatic_annotation.vcf.gz.tbi	7d3a320b02ebdf75b80dadc0597dde6c	34702	released	[b'phs000178']	TCGA-ACC	index_file
00afa460-68bc-409e-8cce-039a88fede45	TCGA_ACC.6e7d2e2c-0d5b-4855-875c-d0e42346330d.wgs.GATK4_MuTect2_Pair.somatic_annotation.vcf.gz	d95c2e4c6b37ce8dc6eec622bdb1a47e	603430	released	[b'phs000178']	TCGA-ACC	data_file
51012e38-f9f2-49e2-bcda-7f66e578a0f2	d6782167-c280-47be-9306-dd6794cd6c34_wxs_gdc_realn.bai	a95884f08c12dc71bf6a9af14856f281	6983840	released	[b'phs000178']	TCGA-ACC	index_file
00b45ae2-ea31-4d0c-a19f-5a10182ad8f0	d6782167-c280-47be-9306-dd6794cd6c34_wxs_gdc_realn.bam	5d0bd36ed8d6a5941953ee5591b6211a	21322887667	released	[b'phs000178']	TCGA-ACC	data_file
c37c19df-315b-434f-8f8c-8a3be7ed4339	d99bb8d5-f062-4c3a-994b-a6f817a64fe0.wxs.muse.raw_somatic_mutation.vcf.gz.tbi	f2626747fe64b2cd27cbb9d880f76f62	8446	released	[b'phs000178']	TCGA-ACC	index_file
00bc678e-6998-432c-a9da-84293ea0f30d	d99bb8d5-f062-4c3a-994b-a6f817a64fe0.wxs.muse.raw_somatic_mutation.vcf.gz	920e2e11d7b4299fa40464dc3824e118	26476	released	[b'phs000178']	TCGA-ACC	data_file
00c897f5-3680-4582-af6c-31571ca0aace	53577094-d8f1-400b-a912-5b575655f1ba.wgs.ASCAT.gene_level.copy_number_variation.tsv	5bdd7f969698bbf2665bca93bed2643d	3442492	released	[b'open']	TCGA-ACC	data_file
00d1a566-c777-4d67-acee-758d3942dd04	TCGA-ACC.7afe7314-a276-4741-9536-a9f4463b3f8d.arriba.rna_fusion.tsv	cb6e711628c600fd7d2faf352ff56569	7785	released	[b'phs000178']	TCGA-ACC	data_file
8cade46c-a832-49eb-b60b-59cb913151df	5c520935-4eeb-46ef-ae08-fb74baa34874_wgs_gdc_realn.bai	4d945f5139cc1fdf774b07a5fd4804c5	9457368	released	[b'phs000178']	TCGA-ACC	index_file
00e40f46-18d4-4f50-8305-08a46164eb63	5c520935-4eeb-46ef-ae08-fb74baa34874_wgs_gdc_realn.bam	9abd2801a65f05efa2d0bb9ac9437ead	128514207537	released	[b'phs000178']	TCGA-ACC	data_file
c2907ad1-e8a5-435f-aec8-48dec48eee17	ae895223-2bbb-4ce7-af4d-f8d66be796b5_wxs_gdc_realn.bai	eaf6634c93a865fabd58370e100ea21b	6712656	released	[b'phs000178']	TCGA-ACC	index_file
00e9019d-8edc-4124-976b-43a80818330c	ae895223-2bbb-4ce7-af4d-f8d66be796b5_wxs_gdc_realn.bam	26591799524d0a832b299e907321c5cf	19529013534	released	[b'phs000178']	TCGA-ACC	data_file
095b73bd-18a9-4711-854f-e7b3fb6383b5	3e60916c-bf8f-4b84-a1f5-2a99eb98a400.wxs.mutect2.raw_somatic_mutation.vcf.gz.tbi	2837b28e130fea69cd46bca9cd3d6607	34326	released	[b'phs000178']	TCGA-ACC	index_file
00f4bf76-e63e-4885-ae85-c0798433e1a6	3e60916c-bf8f-4b84-a1f5-2a99eb98a400.wxs.mutect2.raw_somatic_mutation.vcf.gz	24523b9b52c70342f618a467e015af5d	226910	released	[b'phs000178']	TCGA-ACC	data_file
00f8ce06-a596-48a5-ba29-bb4af21423e3	d7da497e-ec3a-4a74-ad98-7cdc6d60292f.wxs.Pindel.aliquot.maf.gz	00a4ba0fbe7e393416f8972ce1be96a1	31161	released	[b'phs000178']	TCGA-ACC	data_file
afd0137b-d41d-4711-8afe-3dafbe8bcc6b	TCGA_ACC.97d4655c-5212-4871-8086-d720671645a3.wxs.MuSE.somatic_annotation.vcf.gz.tbi	c11674856757ea774b2ec7f8266035fb	19867	released	[b'phs000178']	TCGA-ACC	index_file
00fcb51d-58e5-4167-9dda-1ac302936997	TCGA_ACC.97d4655c-5212-4871-8086-d720671645a3.wxs.MuSE.somatic_annotation.vcf.gz	7994d86cac592dbea38d0059608fa0e9	429269	released	[b'phs000178']	TCGA-ACC	data_file
