id	filename	md5	size	state	acl	project_id	category
000c4d3f-a36d-40af-b108-064908af9628	cd751936-6512-4fb0-beef-5945efd5e836.rna_seq.transcriptome.gdc_realn.bam	a62466d92017096a1376c92c5b30a557	16462619833	released	[b'phs000178']	TCGA-READ	data_file
000f8af5-e233-4169-a8fa-23cb404c4201	TCGA-READ.3af998ca-8754-45b4-a014-35164509d86e.ascat2.allelic_specific.seg.txt	912695e900d8a22df32d474157240724	13641	released	[b'open']	TCGA-READ	data_file
0014e70b-8ef7-4a46-ae9a-23062efbdf1b	nationwidechildrens.org_clinical.TCGA-AG-3893.xml	5af2fe9cdebfa4f6e0eaf1a44ea8f35f	40860	released	[b'open']	TCGA-READ	data_file
002053ab-5458-420c-be15-4a8c4c8d842a	07488339-cf47-4e22-a504-441531577a33_noid_Grn.idat	1057a7029a2eef5f36018062c7d49b74	719553	released	[b'open']	TCGA-READ	data_file
002235aa-ee13-4ea6-92dd-07a17ec21ea6	1a832bbc-0310-4f21-8fb8-177b42a71f18.wxs.aliquot_ensemble_raw.maf.gz	b5cbaf6174a280704febdc2fedf42ddd	337941	released	[b'phs000178']	TCGA-READ	data_file
6583222c-cad0-4995-aaed-fcf74c327e37	aa8f2627-e13c-464e-be45-fa292e5b6d4d.somatic_sv.vcf.gz.tbi	51e6d7216fb58a5bd272266a7c565d93	11673	released	[b'phs000178']	TCGA-READ	index_file
0023587b-5845-4e8c-aecb-e0d48cc7187f	aa8f2627-e13c-464e-be45-fa292e5b6d4d.somatic_sv.vcf.gz	de12a46df671556420f130a428eebb08	56484	released	[b'phs000178']	TCGA-READ	data_file
f28f3d90-0ad0-4728-8822-ee490c624f65	3515c93d-73e5-4aec-9186-2e8bd47deae2.rna_seq.genomic.gdc_realn.bam.bai	564dc9e86180ab579b8eee9586820ba0	4206456	released	[b'phs000178']	TCGA-READ	index_file
0030bdfd-e587-44af-8a8a-6394b9d52586	3515c93d-73e5-4aec-9186-2e8bd47deae2.rna_seq.genomic.gdc_realn.bam	d1ad3915375c057ee0cd97bb30fc48a2	5639072020	released	[b'phs000178']	TCGA-READ	data_file
7d5962bc-a699-4fa1-9612-2ae199ab8880	TCGA-AF-3913-01A-02T-1120-13_mirna_gdc_realn.bai	eef9b23a65c2ef43b2037270e0fe9fe4	2499648	released	[b'phs000178']	TCGA-READ	index_file
0039b8dd-aa62-4136-84a7-a5798c85d557	TCGA-AF-3913-01A-02T-1120-13_mirna_gdc_realn.bam	98737a34dd2c1b3b9eb32a6840ecbcbd	90531445	released	[b'phs000178']	TCGA-READ	data_file
0041d39e-989d-48a2-8280-dda76a72e573	be512610-749f-4245-ac3c-341941b64c55.wxs.Pindel.aliquot.maf.gz	82cb2dfddfe65c4aec75165838c1e498	275861	released	[b'phs000178']	TCGA-READ	data_file
004e3e0f-7c8a-4c03-bfa6-8fd0261fa406	FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820.birdseed.data.txt	9e8df86b0da99a38a4caf6a52605090e	20850938	released	[b'phs000178']	TCGA-READ	data_file
53a2f941-0fbd-434a-bccc-30250e4f89d0	70f27d47-3471-453d-80e6-d12f3f6ba26d.wxs.varscan2.raw_somatic_mutation.vcf.gz.tbi	15be318c4aefc51d2474c3f21aa8e6c8	13404	released	[b'phs000178']	TCGA-READ	index_file
