id	filename	md5	size	state	acl	project_id	category
000099bd-7b45-416f-add5-7498493f088d	0ddb7862-e04c-429f-b285-0ffd34fbfddb.wxs.Pindel.aliquot.maf.gz	3aa624dd0bf404d4e05376731dd54381	41969	released	[b'phs000178']	TCGA-TGCT	data_file
0006ea06-279f-4b65-8ebe-abe1c19bd3df	RAMPS_p_TCGA_Batch_430_NSP_GenomeWideSNP_6_B04_1538322.nocnv_grch38.seg.v2.txt	820318b448b683176702822ce7ad5235	24149	released	[b'open']	TCGA-TGCT	data_file
c570aa09-dac2-48a2-8900-98b6465c9999	TCGA_TGCT.5909826f-a4df-4f45-8dbb-0a27b4058557.wgs.VarScan2.somatic_annotation.vcf.gz.tbi	dd36e36a9e94b909adc6325c894f6fad	147826	released	[b'phs000178']	TCGA-TGCT	index_file
00088fe0-edf3-432c-ad28-95b0f61edcec	TCGA_TGCT.5909826f-a4df-4f45-8dbb-0a27b4058557.wgs.VarScan2.somatic_annotation.vcf.gz	d176cb1e5438cb9b41a7afcb6eb1060f	3269033	released	[b'phs000178']	TCGA-TGCT	data_file
b83d1cd0-30a9-4b63-94e3-1ce63d1cabe9	40fa0a47-c862-4d82-8ab1-a697fb366982.svaba.somatic.sv.vcf.gz.tbi	4cb176febbc8c26d717a6c6e67b9c905	72	released	[b'phs000178']	TCGA-TGCT	index_file
0008ace8-f624-45d2-a73b-51fdf35df4c2	40fa0a47-c862-4d82-8ab1-a697fb366982.svaba.somatic.sv.vcf.gz	64d3e6317816dfdd407b56b53690e230	33806	released	[b'phs000178']	TCGA-TGCT	data_file
dfb1be6d-c7b6-448a-a14c-01bb94810db7	TCGA_TGCT.c887f585-ed79-4bd8-94bd-af572b8b605a.wxs.MuTect2.somatic_annotation.vcf.gz.tbi	784b0c37342cc7188f6ab800d6773133	43565	released	[b'phs000178']	TCGA-TGCT	index_file
000c7f63-3e24-48d3-95ed-5a81d8d9172b	TCGA_TGCT.c887f585-ed79-4bd8-94bd-af572b8b605a.wxs.MuTect2.somatic_annotation.vcf.gz	5e3a14880cd0bc4f2e854247ddde50cf	1650208	released	[b'phs000178']	TCGA-TGCT	data_file
0013aca0-3111-4dc8-9ca1-5ccd1e9931c3	e121cb43-8173-4baf-9138-867cfbff700f.wgs.ASCAT.copy_number_variation.seg.txt	2f536f2e3e39414ee9fe3181b42601fb	5908	released	[b'open']	TCGA-TGCT	data_file
001bef6c-2016-4d21-afc7-ee984fd2e310	nationwidechildrens.org_biospecimen.TCGA-2G-AAGA.xml	9ecee21fcdac3f7f0d5ade7378252a40	46450	released	[b'open']	TCGA-TGCT	data_file
001f48ec-6143-4787-92c6-4585deb0ed0c	ca808a3d-b335-4449-8841-9fc48b734249.wgs.ASCAT.gene_level.copy_number_variation.tsv	31800942bb16a16a9e8aa95e5af78360	3442766	released	[b'open']	TCGA-TGCT	data_file
002b2056-db6e-447a-ab61-93d6427d9c3b	55cf3786-6425-4a0d-b643-65f469809e74.wgs.gatk4.copy_number_variation.supplementary.tar.gz	e3e7c3231745e27e48b0f32206fb0a6d	280453650	released	[b'phs000178']	TCGA-TGCT	data_file
4743a780-1475-4a2e-8ad6-6889d5850e76	TCGA_TGCT.437f05ee-c042-417b-a99c-8c79b9e9f132.wxs.MuSE.somatic_annotation.vcf.gz.tbi	e904ce601719667b18bb99f09bdd7188	11849	released	[b'phs000178']	TCGA-TGCT	index_file
002c4b07-6ef3-4cf0-b8ca-dbe8092f5990	TCGA_TGCT.437f05ee-c042-417b-a99c-8c79b9e9f132.wxs.MuSE.somatic_annotation.vcf.gz	ff6304480ed46b72bea587387c763383	195840	released	[b'phs000178']	TCGA-TGCT	data_file
