id	filename	md5	size	state	acl	project_id	category
dd62eb1a-5b04-4c8f-af58-6d6cb32252c0	4facd3ed-b7a2-4bde-ba06-ed91112cb285_wxs_gdc_realn.bai	7ef955b8fa62ea39f99b33fdabb698a1	6131528	released	[b'phs000178']	TCGA-UVM	index_file
0004cb9b-e0eb-479c-9868-fad8f41d2f66	4facd3ed-b7a2-4bde-ba06-ed91112cb285_wxs_gdc_realn.bam	dbed7ef7ef9a6dd54001fba74d6af3c7	10493708661	released	[b'phs000178']	TCGA-UVM	data_file
000f0e7b-ba01-437b-a8a2-967b288e5b95	ab8251ee-81ad-4e89-9b62-208b0b6a23e4_noid_Grn.idat	5101e30a318d63d2cdc438d0b3923410	8095279	released	[b'open']	TCGA-UVM	data_file
edaa3bba-e39e-4a52-9a22-e2febde5a063	7fa547f0-0f26-4820-b656-91fd80de778f_wxs_gdc_realn.bai	4dca4e156beb986df1ae6a4dbc496320	6173424	released	[b'phs000178']	TCGA-UVM	index_file
000f54ca-e9be-4849-81ad-3e7d15117d1a	7fa547f0-0f26-4820-b656-91fd80de778f_wxs_gdc_realn.bam	505140bc5ea163f382fad3b9eac89e6a	11361137102	released	[b'phs000178']	TCGA-UVM	data_file
cc4a4911-f597-4075-ba7e-01c3d873a048	397a7be6-de7f-4ad3-94db-3d70a4deac6d_wxs_gdc_realn.bai	f4c2870a17b7b67fecb587ca361687bf	6102256	released	[b'phs000178']	TCGA-UVM	index_file
001804bb-967b-4e13-b7a4-bf13d1bdab8b	397a7be6-de7f-4ad3-94db-3d70a4deac6d_wxs_gdc_realn.bam	46e8407e44e4e406f4286c58cad1807c	8439052271	released	[b'phs000178']	TCGA-UVM	data_file
001d4045-71af-407a-aa80-56798c20a03a	TCGA-UVM.c1d8b952-d02d-4cde-9048-2cfdf5d8bb48.ascat3.allelic_specific.seg.txt	c4be45d7d9c1ba762e51a68c49623fe1	1578	released	[b'open']	TCGA-UVM	data_file
002cea8f-45c6-4ffa-96a8-0c4de854ebc0	TCGA-UVM.ff438831-edd0-4d8e-8d1d-6a57fc0ef9df.arriba.rna_fusion.bedpe	27838dadde41eb50521f24a9a7d24b78	505	released	[b'phs000178']	TCGA-UVM	data_file
002e1a26-fb5d-47f4-ab58-36e14ed259ce	5a049bb3-449d-4ef7-82c1-e7f3294a52e8.wxs.Pindel.aliquot.maf.gz	7cf2acc926ade64d4c8dac7b0715bda9	23280	released	[b'phs000178']	TCGA-UVM	data_file
002f8acd-b37b-4e3d-bc76-87ccd3193ee5	TCGA-UVM.02806262-c1b7-49a2-92f5-27b1c5f9fdb8.absolute_liftover.gene_level_copy_number.v36.tsv	2f48cce42b04c471f1b976cf52467b32	3437645	released	[b'open']	TCGA-UVM	data_file
0031670d-0181-4179-a363-59c6faaf3199	6e73e450-24e1-465d-9d8a-11b4c615a457.wxs.Pindel.aliquot.maf.gz	a6530b3ab7d2ddecba6052fcf5b23289	44255	released	[b'phs000178']	TCGA-UVM	data_file
00358114-45bc-4671-8344-8a5c6ce86413	c95eaab6-3473-46b4-8bf7-0701ca622640.mirbase21.isoforms.quantification.txt	1f46fb5fe8902486699748e21aa819ff	412395	released	[b'open']	TCGA-UVM	data_file
2c8a9372-f347-4041-8690-a2ed6bc90c5e	0e86cd4d-d678-4061-9717-ffcd93f05dbd.rna_seq.chimeric.gdc_realn.bam.bai	152847cc087317afaf8d624bf49586a6	2231272	released	[b'phs000178']	TCGA-UVM	index_file
004971c3-8844-498c-825e-46580cb4c379	0e86cd4d-d678-4061-9717-ffcd93f05dbd.rna_seq.chimeric.gdc_realn.bam	e157194c1041af7827474fec56577209	35698217	released	[b'phs000178']	TCGA-UVM	data_file
004c57c0-d212-47e5-bb84-fff8373ac59e	APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_G10_1486370.grch38.seg.v2.txt	ace9c67c5e4adf1b1d8c174163c00742	25588	released	[b'open']	TCGA-UVM	data_file
